passenger_name,survived,age_years,passenger_class,sex,survived_logical,missing_age
Passenger 0076,no,58.9,3rd,male,FALSE,FALSE
Passenger 0077,yes,20,3rd,female,TRUE,FALSE
Passenger 0078,no,,3rd,male,FALSE,TRUE
Passenger 0079,no,,2nd,male,FALSE,TRUE
Passenger 0080,no,29.4,2nd,male,FALSE,FALSE
Passenger 0081,no,,3rd,male,FALSE,TRUE
Passenger 0082,yes,,3rd,female,TRUE,TRUE
Passenger 0083,yes,65.7,1st,male,TRUE,FALSE
Passenger 0084,yes,26.8,1st,male,TRUE,FALSE
Passenger 0085,yes,23.7,3rd,female,TRUE,FALSE
Passenger 0086,no,,1st,female,FALSE,TRUE
Passenger 0087,no,26.9,1st,male,FALSE,FALSE
Passenger 0088,yes,,3rd,female,TRUE,TRUE
Passenger 0089,no,,3rd,female,FALSE,TRUE
Passenger 0090,no,18.7,1st,male,FALSE,FALSE
Passenger 0091,yes,,3rd,female,TRUE,TRUE
Passenger 0092,yes,74.2,1st,male,TRUE,FALSE
Passenger 0093,yes,,3rd,male,TRUE,TRUE
Passenger 0094,no,44,3rd,male,FALSE,FALSE
Passenger 0095,no,33.7,2nd,male,FALSE,FALSE
Passenger 0096,no,,1st,male,FALSE,TRUE
Passenger 0097,yes,32.2,3rd,female,TRUE,FALSE
Passenger 0098,yes,46.8,3rd,female,TRUE,FALSE
Passenger 0099,yes,9.9,3rd,male,TRUE,FALSE
Passenger 0100,no,,3rd,male,FALSE,TRUE
Passenger 0101,yes,,2nd,female,TRUE,TRUE
Passenger 0102,yes,,1st,male,TRUE,TRUE
Passenger 0103,no,,3rd,male,FALSE,TRUE
Passenger 0104,no,,3rd,female,FALSE,TRUE
Passenger 0105,no,38.3,3rd,male,FALSE,FALSE
Passenger 0106,yes,26.9,1st,female,TRUE,FALSE
Passenger 0107,yes,20.5,1st,male,TRUE,FALSE
Passenger 0108,no,,3rd,male,FALSE,TRUE
Passenger 0109,no,16.5,3rd,male,FALSE,FALSE
Passenger 0110,no,29.6,3rd,female,FALSE,FALSE
Passenger 0111,no,31,3rd,male,FALSE,FALSE
Passenger 0112,no,38.8,3rd,male,FALSE,FALSE
Passenger 0113,no,31.8,3rd,male,FALSE,FALSE
Passenger 0114,yes,24.3,1st,male,TRUE,FALSE
Passenger 0115,no,27.7,3rd,male,FALSE,FALSE
Passenger 0116,yes,,1st,male,TRUE,TRUE
Passenger 0117,no,14.8,2nd,male,FALSE,FALSE
Passenger 0118,no,18.7,2nd,male,FALSE,FALSE
Passenger 0119,no,,3rd,male,FALSE,TRUE
Passenger 0120,no,,3rd,male,FALSE,TRUE
Passenger 0121,no,,2nd,male,FALSE,TRUE
Passenger 0122,no,,3rd,female,FALSE,TRUE
Passenger 0123,yes,22.5,3rd,male,TRUE,FALSE
Passenger 0124,yes,31.6,1st,female,TRUE,FALSE
Passenger 0125,yes,,3rd,male,TRUE,TRUE
Passenger 0126,no,,3rd,male,FALSE,TRUE
Passenger 0127,no,,3rd,female,FALSE,TRUE
Passenger 0128,no,22.7,3rd,male,FALSE,FALSE
Passenger 0129,no,,3rd,male,FALSE,TRUE
Passenger 0130,yes,,3rd,male,TRUE,TRUE
Passenger 0131,no,,3rd,female,FALSE,TRUE
Passenger 0132,no,13.2,1st,male,FALSE,FALSE
Passenger 0133,no,24.2,3rd,male,FALSE,FALSE
Passenger 0134,no,,3rd,male,FALSE,TRUE
Passenger 0135,yes,66.7,1st,male,TRUE,FALSE
Passenger 0136,no,30,3rd,male,FALSE,FALSE
Passenger 0137,no,26.9,3rd,male,FALSE,FALSE
Passenger 0138,no,,3rd,male,FALSE,TRUE
Passenger 0139,no,,2nd,male,FALSE,TRUE
Passenger 0140,no,,1st,male,FALSE,TRUE
Passenger 0141,no,23.4,3rd,female,FALSE,FALSE
Passenger 0142,yes,,2nd,female,TRUE,TRUE
Passenger 0143,no,32.7,3rd,male,FALSE,FALSE
Passenger 0144,no,,3rd,female,FALSE,TRUE
Passenger 0145,no,47.1,1st,male,FALSE,FALSE
Passenger 0146,no,,2nd,male,FALSE,TRUE
Passenger 0147,yes,68.6,2nd,male,TRUE,FALSE
Passenger 0148,no,56.6,2nd,male,FALSE,FALSE
Passenger 0149,no,4.4,3rd,male,FALSE,FALSE
Passenger 0150,no,,2nd,male,FALSE,TRUE
Passenger 0151,no,25.8,1st,male,FALSE,FALSE
Passenger 0152,no,,2nd,male,FALSE,TRUE
Passenger 0153,no,,3rd,male,FALSE,TRUE
Passenger 0154,yes,,3rd,female,TRUE,TRUE
Passenger 0155,no,,3rd,male,FALSE,TRUE
Passenger 0156,no,,2nd,male,FALSE,TRUE
Passenger 0157,no,,3rd,male,FALSE,TRUE
Passenger 0158,no,14,3rd,female,FALSE,FALSE
Passenger 0159,no,19.9,3rd,male,FALSE,FALSE
Passenger 0160,yes,41.9,3rd,female,TRUE,FALSE
Passenger 0161,no,60.3,2nd,male,FALSE,FALSE
Passenger 0162,yes,33.4,3rd,female,TRUE,FALSE
Passenger 0163,no,,1st,male,FALSE,TRUE
Passenger 0164,no,,3rd,male,FALSE,TRUE
Passenger 0165,yes,,3rd,female,TRUE,TRUE
Passenger 0166,yes,,3rd,female,TRUE,TRUE
Passenger 0167,no,38.1,3rd,male,FALSE,FALSE
Passenger 0168,yes,34.7,2nd,female,TRUE,FALSE
Passenger 0169,no,30.9,3rd,female,FALSE,FALSE
Passenger 0170,no,29.7,1st,female,FALSE,FALSE
Passenger 0171,yes,,1st,female,TRUE,TRUE
Passenger 0172,no,27.4,2nd,male,FALSE,FALSE
Passenger 0173,no,17.9,1st,female,FALSE,FALSE
Passenger 0174,no,,2nd,male,FALSE,TRUE
Passenger 0175,no,59,3rd,male,FALSE,FALSE
Passenger 0176,no,32.5,1st,female,FALSE,FALSE
Passenger 0177,no,,3rd,male,FALSE,TRUE
Passenger 0178,yes,63.8,3rd,male,TRUE,FALSE
Passenger 0179,yes,24.5,2nd,female,TRUE,FALSE
Passenger 0180,yes,32.3,1st,female,TRUE,FALSE
Passenger 0181,yes,81.7,1st,female,TRUE,FALSE
Passenger 0182,no,32.9,3rd,male,FALSE,FALSE
Passenger 0183,no,,3rd,female,FALSE,TRUE
Passenger 0184,no,14.3,3rd,male,FALSE,FALSE
Passenger 0185,no,,2nd,male,FALSE,TRUE
Passenger 0186,yes,43.6,1st,female,TRUE,FALSE
Passenger 0187,no,23.7,3rd,male,FALSE,FALSE
Passenger 0188,yes,31.5,1st,male,TRUE,FALSE
Passenger 0189,yes,62.3,2nd,female,TRUE,FALSE
Passenger 0190,yes,,3rd,female,TRUE,TRUE
Passenger 0191,yes,35.1,3rd,male,TRUE,FALSE
Passenger 0192,no,19.3,1st,male,FALSE,FALSE
Passenger 0193,yes,,3rd,female,TRUE,TRUE
Passenger 0194,no,17.8,1st,male,FALSE,FALSE
Passenger 0195,no,,3rd,female,FALSE,TRUE
Passenger 0196,no,,1st,male,FALSE,TRUE
Passenger 0197,yes,28,2nd,female,TRUE,FALSE
Passenger 0198,yes,24.8,1st,female,TRUE,FALSE
Passenger 0199,no,,3rd,male,FALSE,TRUE
Passenger 0200,yes,,3rd,female,TRUE,TRUE
Passenger 0201,no,,3rd,female,FALSE,TRUE
Passenger 0202,yes,24.8,1st,male,TRUE,FALSE
Passenger 0203,no,15.6,2nd,female,FALSE,FALSE
Passenger 0204,no,,3rd,female,FALSE,TRUE
Passenger 0205,yes,21.1,3rd,male,TRUE,FALSE
Passenger 0206,no,62.4,3rd,male,FALSE,FALSE
Passenger 0207,no,,2nd,male,FALSE,TRUE
Passenger 0208,no,,1st,male,FALSE,TRUE
Passenger 0209,no,,1st,male,FALSE,TRUE
Passenger 0210,no,,2nd,male,FALSE,TRUE
Passenger 0211,no,33.7,3rd,male,FALSE,FALSE
Passenger 0212,yes,,2nd,female,TRUE,TRUE
Passenger 0213,yes,,2nd,female,TRUE,TRUE
Passenger 0214,no,20.1,3rd,male,FALSE,FALSE
Passenger 0215,no,,3rd,female,FALSE,TRUE
Passenger 0216,yes,,2nd,female,TRUE,TRUE
Passenger 0217,no,,2nd,male,FALSE,TRUE
Passenger 0218,no,,2nd,male,FALSE,TRUE
Passenger 0219,no,,2nd,male,FALSE,TRUE
Passenger 0220,yes,62.7,3rd,female,TRUE,FALSE
Passenger 0221,no,,3rd,female,FALSE,TRUE
Passenger 0222,no,,3rd,male,FALSE,TRUE
Passenger 0223,no,26.4,1st,male,FALSE,FALSE
Passenger 0224,no,20.8,2nd,male,FALSE,FALSE
Passenger 0225,yes,,3rd,female,TRUE,TRUE
Passenger 0226,no,,3rd,male,FALSE,TRUE
Passenger 0227,yes,,1st,female,TRUE,TRUE
Passenger 0228,yes,17,1st,female,TRUE,FALSE
Passenger 0229,no,,2nd,male,FALSE,TRUE
Passenger 0230,yes,10.5,3rd,male,TRUE,FALSE
Passenger 0231,yes,64.9,1st,female,TRUE,FALSE
Passenger 0232,no,33.3,2nd,male,FALSE,FALSE
Passenger 0233,yes,,2nd,female,TRUE,TRUE
Passenger 0234,no,,3rd,female,FALSE,TRUE
Passenger 0235,yes,9.8,3rd,female,TRUE,FALSE
Passenger 0236,no,,2nd,male,FALSE,TRUE
Passenger 0237,yes,,3rd,female,TRUE,TRUE
Passenger 0238,yes,41,3rd,male,TRUE,FALSE
Passenger 0239,yes,,3rd,male,TRUE,TRUE
Passenger 0240,no,,3rd,female,FALSE,TRUE
Passenger 0241,yes,31.1,3rd,female,TRUE,FALSE
Passenger 0242,no,,1st,male,FALSE,TRUE
Passenger 0243,no,,3rd,female,FALSE,TRUE
Passenger 0244,yes,,3rd,male,TRUE,TRUE
Passenger 0245,no,23,1st,male,FALSE,FALSE
Passenger 0246,yes,,2nd,female,TRUE,TRUE
Passenger 0247,yes,,2nd,female,TRUE,TRUE
Passenger 0248,no,15.1,3rd,male,FALSE,FALSE
Passenger 0249,no,19.6,3rd,male,FALSE,FALSE
Passenger 0250,no,,1st,female,FALSE,TRUE
Passenger 0251,no,49.8,1st,female,FALSE,FALSE
Passenger 0252,yes,47.9,1st,male,TRUE,FALSE
Passenger 0253,yes,,3rd,female,TRUE,TRUE
Passenger 0254,yes,,1st,female,TRUE,TRUE
Passenger 0255,no,,3rd,male,FALSE,TRUE
Passenger 0256,yes,,3rd,female,TRUE,TRUE
Passenger 0257,no,,3rd,male,FALSE,TRUE
Passenger 0258,yes,,1st,male,TRUE,TRUE
Passenger 0259,no,,1st,female,FALSE,TRUE
Passenger 0260,no,11,1st,male,FALSE,FALSE
Passenger 0261,no,83.7,2nd,female,FALSE,FALSE
Passenger 0262,no,68.5,3rd,female,FALSE,FALSE
Passenger 0263,no,,3rd,male,FALSE,TRUE
Passenger 0264,yes,,2nd,female,TRUE,TRUE
Passenger 0265,no,33.8,3rd,male,FALSE,FALSE
Passenger 0266,no,29.8,2nd,male,FALSE,FALSE
Passenger 0267,yes,,3rd,female,TRUE,TRUE
Passenger 0268,yes,,1st,female,TRUE,TRUE
Passenger 0269,yes,26.1,3rd,female,TRUE,FALSE
Passenger 0270,no,53.8,2nd,male,FALSE,FALSE
Passenger 0271,yes,13.8,2nd,male,TRUE,FALSE
Passenger 0272,yes,8.7,3rd,female,TRUE,FALSE
Passenger 0273,no,,3rd,male,FALSE,TRUE
Passenger 0274,no,37.6,2nd,male,FALSE,FALSE
Passenger 0275,no,48.2,3rd,male,FALSE,FALSE
Passenger 0276,no,,3rd,male,FALSE,TRUE
Passenger 0277,yes,43.3,3rd,male,TRUE,FALSE
Passenger 0278,no,,2nd,male,FALSE,TRUE
Passenger 0279,yes,,1st,male,TRUE,TRUE
Passenger 0280,no,,3rd,female,FALSE,TRUE
Passenger 0281,yes,,1st,female,TRUE,TRUE
Passenger 0282,no,,3rd,male,FALSE,TRUE
Passenger 0283,no,29.8,2nd,female,FALSE,FALSE
Passenger 0284,no,21.9,3rd,female,FALSE,FALSE
Passenger 0285,no,32.7,3rd,male,FALSE,FALSE
Passenger 0286,no,,3rd,female,FALSE,TRUE
Passenger 0287,no,,3rd,male,FALSE,TRUE
Passenger 0288,no,,3rd,female,FALSE,TRUE
Passenger 0289,no,94.3,3rd,male,FALSE,FALSE
Passenger 0290,no,,1st,male,FALSE,TRUE
Passenger 0291,yes,15.9,2nd,male,TRUE,FALSE
Passenger 0292,no,,1st,male,FALSE,TRUE
Passenger 0293,no,14.7,3rd,male,FALSE,FALSE
Passenger 0294,yes,16.5,3rd,female,TRUE,FALSE
Passenger 0295,yes,49.2,1st,female,TRUE,FALSE
Passenger 0296,no,56.8,3rd,male,FALSE,FALSE
Passenger 0297,no,30.1,1st,male,FALSE,FALSE
Passenger 0298,no,26.3,3rd,male,FALSE,FALSE
Passenger 0299,no,14.5,3rd,male,FALSE,FALSE
Passenger 0300,no,16.4,3rd,female,FALSE,FALSE
Passenger 0301,no,,3rd,female,FALSE,TRUE
Passenger 0302,no,,1st,male,FALSE,TRUE
Passenger 0303,yes,31.8,1st,female,TRUE,FALSE
Passenger 0304,no,,3rd,male,FALSE,TRUE
Passenger 0305,no,,2nd,female,FALSE,TRUE
Passenger 0306,yes,45.4,3rd,female,TRUE,FALSE
Passenger 0307,no,8.9,3rd,female,FALSE,FALSE
Passenger 0308,no,34.9,2nd,female,FALSE,FALSE
Passenger 0309,no,,3rd,female,FALSE,TRUE
Passenger 0310,no,,2nd,male,FALSE,TRUE
Passenger 0311,yes,20.9,3rd,male,TRUE,FALSE
Passenger 0312,no,32.6,2nd,male,FALSE,FALSE
Passenger 0313,yes,35.3,2nd,female,TRUE,FALSE
Passenger 0314,no,,1st,male,FALSE,TRUE
Passenger 0315,no,,3rd,female,FALSE,TRUE
Passenger 0316,yes,,3rd,male,TRUE,TRUE
Passenger 0317,yes,,3rd,female,TRUE,TRUE
Passenger 0318,yes,,1st,female,TRUE,TRUE
Passenger 0319,no,19.9,3rd,male,FALSE,FALSE
Passenger 0320,no,19.7,3rd,male,FALSE,FALSE
Passenger 0321,yes,27.8,2nd,female,TRUE,FALSE
Passenger 0322,no,,3rd,male,FALSE,TRUE
Passenger 0323,no,23,3rd,male,FALSE,FALSE
Passenger 0324,yes,15.7,3rd,female,TRUE,FALSE
Passenger 0325,no,21.8,1st,male,FALSE,FALSE
Passenger 0326,no,17.3,1st,male,FALSE,FALSE
Passenger 0327,yes,19,1st,female,TRUE,FALSE
Passenger 0328,yes,,3rd,female,TRUE,TRUE
Passenger 0329,no,,3rd,female,FALSE,TRUE
Passenger 0330,yes,,3rd,male,TRUE,TRUE
Passenger 0331,no,31.4,3rd,male,FALSE,FALSE
Passenger 0332,yes,,3rd,female,TRUE,TRUE
Passenger 0333,no,20.7,2nd,female,FALSE,FALSE
Passenger 0334,no,,3rd,male,FALSE,TRUE
Passenger 0335,yes,18.1,3rd,male,TRUE,FALSE
Passenger 0336,no,16.9,3rd,male,FALSE,FALSE
Passenger 0337,no,31,3rd,male,FALSE,FALSE
Passenger 0338,yes,,1st,female,TRUE,TRUE
Passenger 0339,no,,3rd,male,FALSE,TRUE
Passenger 0340,no,,3rd,male,FALSE,TRUE
Passenger 0341,no,,1st,male,FALSE,TRUE
Passenger 0342,no,29.8,3rd,male,FALSE,FALSE
Passenger 0343,yes,27.5,2nd,male,TRUE,FALSE
Passenger 0344,yes,,2nd,male,TRUE,TRUE
Passenger 0345,yes,42.4,3rd,male,TRUE,FALSE
Passenger 0346,yes,37.2,2nd,female,TRUE,FALSE
Passenger 0347,yes,24.5,3rd,female,TRUE,FALSE
Passenger 0348,no,7.6,3rd,male,FALSE,FALSE
Passenger 0349,no,19.2,3rd,female,FALSE,FALSE
Passenger 0350,no,69,3rd,male,FALSE,FALSE
Passenger 0351,no,,1st,male,FALSE,TRUE
Passenger 0352,no,,1st,male,FALSE,TRUE
Passenger 0353,no,27.3,3rd,male,FALSE,FALSE
Passenger 0354,yes,27,2nd,female,TRUE,FALSE
Passenger 0355,yes,37.5,2nd,male,TRUE,FALSE
Passenger 0356,yes,,3rd,male,TRUE,TRUE
Passenger 0357,no,,3rd,female,FALSE,TRUE
Passenger 0358,no,45.2,3rd,female,FALSE,FALSE
Passenger 0359,yes,21.6,2nd,male,TRUE,FALSE
Passenger 0360,yes,41.9,2nd,female,TRUE,FALSE
Passenger 0361,no,37.8,2nd,male,FALSE,FALSE
Passenger 0362,no,,2nd,male,FALSE,TRUE
Passenger 0363,yes,,1st,female,TRUE,TRUE
Passenger 0364,yes,,2nd,male,TRUE,TRUE
Passenger 0365,yes,14.9,2nd,female,TRUE,FALSE
Passenger 0366,no,,2nd,female,FALSE,TRUE
Passenger 0367,yes,55.3,1st,female,TRUE,FALSE
Passenger 0368,yes,,3rd,male,TRUE,TRUE
Passenger 0369,no,,2nd,male,FALSE,TRUE
Passenger 0370,no,,1st,male,FALSE,TRUE
Passenger 0371,no,,3rd,male,FALSE,TRUE
Passenger 0372,no,,3rd,male,FALSE,TRUE
Passenger 0373,no,,2nd,male,FALSE,TRUE
Passenger 0374,yes,32.9,1st,female,TRUE,FALSE
Passenger 0375,no,,3rd,male,FALSE,TRUE
Passenger 0376,yes,45.7,3rd,female,TRUE,FALSE
Passenger 0377,no,15.1,2nd,male,FALSE,FALSE
Passenger 0378,no,,3rd,male,FALSE,TRUE
Passenger 0379,yes,,3rd,male,TRUE,TRUE
Passenger 0380,yes,,3rd,female,TRUE,TRUE
Passenger 0381,no,,1st,male,FALSE,TRUE
Passenger 0382,no,,3rd,male,FALSE,TRUE
Passenger 0383,yes,,2nd,male,TRUE,TRUE
Passenger 0384,yes,14.4,2nd,female,TRUE,FALSE
Passenger 0385,no,18.3,3rd,male,FALSE,FALSE
Passenger 0386,yes,,1st,female,TRUE,TRUE
Passenger 0387,no,21.7,1st,male,FALSE,FALSE
Passenger 0388,no,25.9,2nd,male,FALSE,FALSE
Passenger 0389,no,,2nd,male,FALSE,TRUE
Passenger 0390,yes,38.2,1st,female,TRUE,FALSE
Passenger 0391,yes,54.4,3rd,female,TRUE,FALSE
Passenger 0392,no,,2nd,male,FALSE,TRUE
Passenger 0393,no,,1st,male,FALSE,TRUE
Passenger 0394,no,40.5,3rd,female,FALSE,FALSE
Passenger 0395,yes,29.6,1st,male,TRUE,FALSE
Passenger 0396,no,,3rd,male,FALSE,TRUE
Passenger 0397,yes,,3rd,female,TRUE,TRUE
Passenger 0398,no,19.4,3rd,male,FALSE,FALSE
Passenger 0399,yes,61.8,2nd,female,TRUE,FALSE
Passenger 0400,no,20.4,3rd,female,FALSE,FALSE
Passenger 0401,no,12.1,3rd,male,FALSE,FALSE
Passenger 0402,yes,44.4,2nd,female,TRUE,FALSE
Passenger 0403,no,102.7,2nd,female,FALSE,FALSE
Passenger 0404,no,,1st,male,FALSE,TRUE
Passenger 0405,yes,,3rd,female,TRUE,TRUE
Passenger 0406,yes,,3rd,female,TRUE,TRUE
Passenger 0407,yes,13.6,3rd,male,TRUE,FALSE
Passenger 0408,yes,43.7,2nd,male,TRUE,FALSE
Passenger 0409,yes,,3rd,female,TRUE,TRUE
Passenger 0410,no,33.8,3rd,male,FALSE,FALSE
Passenger 0411,no,,3rd,male,FALSE,TRUE
Passenger 0412,no,,2nd,male,FALSE,TRUE
Passenger 0413,yes,37.3,2nd,female,TRUE,FALSE
Passenger 0414,yes,,1st,female,TRUE,TRUE
Passenger 0415,yes,,3rd,female,TRUE,TRUE
Passenger 0416,no,,3rd,female,FALSE,TRUE
Passenger 0417,yes,22.4,2nd,female,TRUE,FALSE
Passenger 0418,yes,,1st,male,TRUE,TRUE
Passenger 0419,no,,3rd,female,FALSE,TRUE
Passenger 0420,yes,,2nd,female,TRUE,TRUE
Passenger 0421,yes,54.5,3rd,male,TRUE,FALSE
Passenger 0422,no,,2nd,male,FALSE,TRUE
Passenger 0423,no,,3rd,male,FALSE,TRUE
Passenger 0424,no,15,3rd,male,FALSE,FALSE
Passenger 0425,no,44.1,1st,male,FALSE,FALSE
Passenger 0426,no,,2nd,male,FALSE,TRUE
Passenger 0427,no,11.7,1st,male,FALSE,FALSE
Passenger 0428,yes,47.5,1st,male,TRUE,FALSE
Passenger 0429,no,,3rd,male,FALSE,TRUE
Passenger 0430,yes,,1st,male,TRUE,TRUE
Passenger 0431,yes,17.8,1st,male,TRUE,FALSE
Passenger 0432,no,42,2nd,male,FALSE,FALSE
Passenger 0433,no,49.5,2nd,female,FALSE,FALSE
Passenger 0434,yes,34.3,3rd,male,TRUE,FALSE
Passenger 0435,no,58.7,2nd,female,FALSE,FALSE
Passenger 0436,no,20,3rd,male,FALSE,FALSE
Passenger 0437,no,27.6,1st,male,FALSE,FALSE
Passenger 0438,yes,,1st,female,TRUE,TRUE
Passenger 0439,no,30.7,1st,male,FALSE,FALSE
Passenger 0440,no,,1st,male,FALSE,TRUE
Passenger 0441,no,,3rd,male,FALSE,TRUE
Passenger 0442,no,27.8,2nd,male,FALSE,FALSE
Passenger 0443,no,,3rd,male,FALSE,TRUE
Passenger 0444,yes,19.3,2nd,male,TRUE,FALSE
Passenger 0445,no,,3rd,male,FALSE,TRUE
Passenger 0446,yes,17.4,1st,male,TRUE,FALSE
Passenger 0447,no,29.9,3rd,male,FALSE,FALSE
Passenger 0448,no,,2nd,male,FALSE,TRUE
Passenger 0449,no,20.7,3rd,female,FALSE,FALSE
Passenger 0450,yes,,3rd,male,TRUE,TRUE
Passenger 0451,no,23.8,3rd,female,FALSE,FALSE
Passenger 0452,yes,37,1st,female,TRUE,FALSE
Passenger 0453,no,16.4,3rd,male,FALSE,FALSE
Passenger 0454,yes,16.1,3rd,female,TRUE,FALSE
Passenger 0455,yes,,1st,male,TRUE,TRUE
Passenger 0456,no,,1st,male,FALSE,TRUE
Passenger 0457,yes,,3rd,female,TRUE,TRUE
Passenger 0458,no,,1st,male,FALSE,TRUE
Passenger 0459,no,6.9,1st,male,FALSE,FALSE
Passenger 0460,yes,37,1st,male,TRUE,FALSE
Passenger 0461,no,,2nd,male,FALSE,TRUE
Passenger 0462,no,44.8,3rd,female,FALSE,FALSE
Passenger 0463,no,22.2,3rd,male,FALSE,FALSE
Passenger 0464,yes,,1st,female,TRUE,TRUE
Passenger 0465,yes,,2nd,female,TRUE,TRUE
Passenger 0466,yes,,2nd,female,TRUE,TRUE
Passenger 0467,no,31.5,3rd,male,FALSE,FALSE
Passenger 0468,no,,2nd,male,FALSE,TRUE
Passenger 0469,no,55.5,2nd,male,FALSE,FALSE
Passenger 0470,no,,1st,male,FALSE,TRUE
Passenger 0471,no,29.6,1st,male,FALSE,FALSE
Passenger 0472,yes,29.6,3rd,male,TRUE,FALSE
Passenger 0473,no,,3rd,male,FALSE,TRUE
Passenger 0474,no,,2nd,male,FALSE,TRUE
Passenger 0475,yes,31.7,3rd,female,TRUE,FALSE
Passenger 0476,no,,3rd,male,FALSE,TRUE
Passenger 0477,no,,3rd,female,FALSE,TRUE
Passenger 0478,no,,2nd,male,FALSE,TRUE
Passenger 0479,no,13.1,3rd,female,FALSE,FALSE
Passenger 0480,no,60.5,2nd,female,FALSE,FALSE
Passenger 0481,no,,2nd,male,FALSE,TRUE
Passenger 0482,no,,3rd,male,FALSE,TRUE
Passenger 0483,no,,3rd,male,FALSE,TRUE
Passenger 0484,no,44.6,3rd,male,FALSE,FALSE
Passenger 0485,yes,31.3,3rd,male,TRUE,FALSE
Passenger 0486,no,,3rd,male,FALSE,TRUE
Passenger 0487,no,,2nd,female,FALSE,TRUE
Passenger 0488,no,,1st,female,FALSE,TRUE
